ville,canton,prix_metre_carre_moyen
Unterentfelden,AG,16.58823529411765
Unterkulm,AG,0.0
Untersiggenthal,AG,17.88995215311005
Urdorf,ZH,22.837974683544303
Ursy,FR,15.590828924162258
Urtenen-Schönbühl,BE,17.82758620689655
Uster,ZH,21.035935563816604
Uttwil,TG,16.275993883792047
Uznach,SG,0.0
Uzwil,SG,13.628844114528102
Vacallo,TI,0.0
Val Mara,TI,22.60759493670886
Val Terbi,JU,0.0
Val de Bagnes,VS,0.0
Val-d'Illiez,VS,21.828908554572273
Val-de-Charmey,FR,14.432835820895523
Val-de-Ruz,NE,13.99268429938098
Val-de-Travers,NE,15.706214689265536
Valbirse,BE,0.0
Valbroye,VD,17.596685082872927
Vallorbe,VD,14.516556291390728
Vandoeuvres,GE,52.14465937762826
Vechigen,BE,0.0
Vernate,TI,0.0
Vernayaz,VS,17.43510054844607
Vernier,GE,39.55970203051784
Versoix,GE,31.647058823529413
Vevey,VD,26.131090174966353
Veyrier,GE,36.10778443113772
Veytaux,VD,20.018115942028984
Vich,VD,0.0
Villars-Sainte-Croix,VD,0.0
Villars-le-Terroir,VD,0.0
Villars-sur-Glâne,FR,18.488199907450255
Villarsel-sur-Marly,FR,14.979123173277662
Villarzel,VD,0.0
Villaz,FR,18.207326578332033
Villeneuve,VD,20.88291746641075
Villmergen,AG,0.0
Villorsonnens,FR,0.0
Vinelz,BE,0.0
Vinzel,VD,0.0
Vionnaz,VS,13.575418994413408
Visperterminen,VS,17.693208430913348
Volketswil,ZH,0.0
Vordemwald,AG,16.83139534883721
Vouvry,VS,16.053691275167786
Vuarrens,VD,0.0
Vufflens-la-Ville,VD,0.0
Vufflens-le-Château,VD,0.0
Vuisternens-devant-Romont,FR,0.0
Vulliens,VD,0.0
Vully-les-Lacs,VD,18.430851063829788
Vérossaz,VS,9.915966386554622
Vétroz,VS,0.0
Wahlen,BL,0.0
Wald,AR,12.553956834532373
Waldenburg,BL,13.819444444444445
Waldkirch,SG,14.365157480314961
Waldstatt,AR,0.0
Walenstadt,SG,55.47222222222222
Wallisellen,ZH,28.050814956855227
Walliswil bei Wangen,BE,0.0
Wangen,SZ,0.0
Wangen bei Olten,SO,15.902489626556017
Wartau,SG,0.0
Wattwil,SG,0.0
Wegenstetten,AG,0.0
Weggis,LU,0.0
Weiach,ZH,0.0
Weinfelden,TG,15.207823960880196
Welschenrohr-Gänsbrunnen,SO,12.518518518518519
Wettswil am Albis,ZH,0.0
Wichtrach,BE,0.0
Widen,AG,14.086021505376344
Widnau,SG,15.031446540880504
Wiedlisbach,BE,0.0
Wigoltingen,TG,13.574766355140186
Wil,SG,16.14457831325301
Wil,ZH,19.817073170731707
Wildhaus-Alt St. Johann,SG,21.205357142857142
Wilen,TG,0.0
Wiler bei Utzenstorf,BE,13.408071748878923
Willisau,LU,15.872093023255815
Windisch,AG,19.774193548387096
Winkel,ZH,21.386554621848738
Winterthur,ZH,25.206676783004553
Winznau,SO,15.743542435424354
Wittnau,AG,0.0
Wohlen,AG,17.724798387096776
Wohlen bei Bern,BE,0.0
Wolfenschiessen,NW,0.0
Wolfhalden,AR,0.0
Wollerau,SZ,0.0
Worb,BE,19.44043321299639
Wyssachen,BE,0.0
Wädenswil,ZH,0.0
Wängi,TG,0.0
Wölflinswil,AG,18.375
Wünnewil-Flamatt,FR,15.64735516372796
Würenlos,AG,19.968051118210862
Yens,VD,0.0
Yverdon-les-Bains,VD,19.699062825407843
Yvonand,VD,17.33233082706767
Yvorne,VD,17.36842105263158
