ville,canton,prix,metres_carres,type,nbr_pieces
Crans-Montana,VS,5500,98,Appartement ,4.5
Porrentruy,JU,1150,114,Duplex ,4.5
La Chaux-de-Fonds,NE,770,50,Appartement ,3.0
La Chaux-de-Fonds,NE,1100,125,Appartement ,4.5
La Chaux-de-Fonds,NE,1200,92,Appartement ,4.5
Le Locle,NE,815,73,Appartement ,3.5
Le Locle,NE,700,70,Appartement ,3.0
Gossau,SG,870,62,Appartement ,3.0
Leytron,VS,2000,125,Chalet ,5.5
La Chaux-de-Fonds,NE,850,70,Appartement ,3.0
Le Locle,NE,960,100,Appartement ,4.0
Tafers,FR,2000,85,Appartement ,4.5
Pully,VD,3800,117,Appartement ,4.5
Vevey,VD,1490,79,Appartement ,3.5
La Chaux-de-Fonds,NE,1076,126,Appartement ,3.5
Zürich,ZH,3500,110,Appartement ,2.5
Solothurn,SO,1275,95,Appartement ,4.0
Le Locle,NE,850,125,Appartement ,4.5
Estavayer,FR,2100,93,Appartement ,4.5
Develier,JU,995,53,Appartement ,2.0
Sainte-Croix,VD,1480,92,Appartement ,3.5
Massongex,VS,1200,66,Appartement ,2.5
Zürich,ZH,2680,30,Appartement meublé ,1.0
La Chaux-de-Fonds,NE,800,68,Appartement ,3.0
Tafers,FR,1000,39,Appartement ,2.5
Tafers,FR,1250,68,Appartement ,3.0
Lausanne,VD,1900,72,Appartement ,3.5
Marly,FR,1650,102,Appartement ,4.0
Saxon,VS,800,23,Studio ,1.5
Suhr,AG,1340,91,Appartement ,4.5
Obergerlafingen,SO,1300,70,Appartement ,4.5
Leysin,VD,1700,73,Appartement ,4.0
Lugano,TI,1701,26,Appartement meublé,
Marly,FR,2065,93,Duplex ,3.5
Sion,VS,1900,170,Appartement ,5.5
Develier,JU,650,37,Appartement ,1.0
Develier,JU,1170,97,Appartement ,4.0
La Chaux-de-Fonds,NE,990,72,Appartement ,3.5
Féchy,VD,6950,280,Maison ,7.0
Vallorbe,VD,1430,136,Appartement ,5.0
Vernier,GE,1250,58,Appartement ,3.0
Luterbach,SO,1550,140,Appartement ,4.5
Morges,VD,2450,125,Attique ,5.0
Montreux,VD,1695,75,Appartement ,3.5
Le Locle,NE,720,63,Appartement ,3.5
Le Locle,NE,670,63,Appartement ,3.5
Bottmingen,BL,1420,79,Appartement ,3.0
Courgenay,JU,850,55,Appartement ,3.0
La Chaux-de-Fonds,NE,1000,64,Appartement ,3.0
Moudon,VD,2235,111,Appartement ,4.5
Moudon,VD,1660,83,Appartement ,3.5
Moudon,VD,2268,110,Appartement ,4.5
Münchenstein,BL,1745,100,Appartement ,3.5
Vérossaz,VS,1000,100,Appartement ,4.5
Muttenz,BL,1250,63,Appartement ,3.0
Montreux,VD,1450,60,Appartement ,3.0
Crans-Montana,VS,3000,184,Attique ,3.5
Münchenstein,BL,1660,95,Appartement ,3.0
Münchenstein,BL,1950,95,Appartement ,4.0
